13
281,130:340,35:388,125:281,62:394,56|255,255,0
339,96:268,151:314,155:376,151|0,102,0
328,131:225,207:406,206|0,102,0
325,154:174,290:447,276|0,102,0
276,277:351,275:348,321:274,326|102,51,0
208,317:269,314:267,363:208,362|255,0,0
197,377|0,0,0
255,378|0,0,0
229,315:230,335:211,336:209,348:231,348:230,360:247,362:246,349:265,347:266,334:244,335:246,317|255,255,255
219,294:208,301:204,312:213,316:225,318:231,312:233,302|255,204,0
231,309:237,302:241,303:245,308:246,313:241,316:232,314|255,204,0
246,311:246,300:253,295:261,297:269,302:270,310:265,315:254,315|255,204,0
-10,343|0,0,0
